#,Date,New Column,Own Goal #,Own Goal Scorer,Opponent,Minute,Score,Result,Competition,Venue,Stadium
21,1952-12-26,1952/1953,1,Jim McCabe,Luton Town,7,2 - 0,🔴 Lost,Division Two,A,"Kenilworth Road, Luton"
20,1950-10-14,1950/1951,1,Eric Kerfoot,Preston North End,43,2 - 0,🔴 Lost,Division Two,A,"Deepdale, Preston"
19,1949-12-10,1949/1950,1,Jimmy Dunn,Bury,14,2 - 0,🔴 Lost,Division Two,A,"Gigg Lane, Bury"
18,1939-04-29,1938/1939,1,George Scaife,Birmingham City,15,4 - 0,🔴 Lost,Division One,A,"St Andrew's, Birmingham"
17,1938-03-19,1937/1938,2,Tom Holley,Blackpool,11,5 - 2,🔴 Lost,Division One,A,"Bloomfield Road, Blackpool"
16,1937-03-06,1936/1937,1,Tom Holley,Brentford,33,4 - 1,🔴 Lost,Division One,A,"Griffin Park, London"
15,1936-12-19,1936/1937,1,John McDougall,Sunderland,61,2 - 1,🔴 Lost,Division One,A,"Roker Park, Sunderland"
14,1936-09-05,1936/1937,5,Jack Milburn,Stoke City,47,2 - 1,🔴 Lost,Division One,A,"Victoria Ground, Stoke-on-Trent"
13,1935-09-07,1935/1936,1,Willis Edwards,Blackburn Rovers,43,1 - 4,🔴 Lost,Division One,H,"Elland Road, Leeds"
12,1934-12-08,1934/1935,4,Jack Milburn,Aston Villa,42,1 - 1,🟠 Draw,Division One,A,"Villa Park, Birmingham"
11,1931-12-26,1931/1932,1,George Milburn,Bradford Park Avenue,46,3 - 2,🟢 Won,Division Two,H,"Elland Road, Leeds"
10,1931-08-31,1931/1932,3,Jack Milburn,Port Vale,85,1 - 2,🟢 Won,Division Two,A,"Vale Park, Stoke-on-Trent"
9,1931-04-06,1930/1931,2,Jack Milburn,Sheffield United,38,1 - 1,🟠 Draw,Division One,A,"Bramall Lane, Sheffield"
8,1931-03-14,1930/1931,1,Bill Menzies,Sheffield Wednesday,26,2 - 1,🔴 Lost,Division One,A,"Hillsborough, Sheffield"
7,1929-11-16,1929/1930,1,Jack Milburn,West Ham United,87,1 - 3,🔴 Lost,Division One,H,"Elland Road, Leeds"
6,1929-11-09,1929/1930,1,Harry Roberts,Sheffield United,25,3 - 2,🔴 Lost,Division One,A,"Bramall Lane, Sheffield"
5,1926-10-09,1926/1927,1,David Robinson,Blackburn Rovers,90,4 - 1,🟢 Won,Division One,H,"Elland Road, Leeds"
4,1926-04-10,1925/1926,1,Ernie Hart,West Bromwich Albion,30,3 - 0,🔴 Lost,Division One,A,"The Hawthorns, West Bromwich"
3,1926-02-06,1925/1926,1,Bill Johnson,Arsenal,65,4 - 2,🟢 Won,Division One,H,"Elland Road, Leeds"
2,1923-09-29,1923/1924,1,Bert Duffield,Hull City,48,5 - 2,🟢 Won,Division Two,H,"Elland Road, Leeds"
1,1922-03-18,1921/1922,1,Jim Baker,Coventry City,44,1 - 0,🔴 Lost,Division Two,A,"Highfield Road, Coventry"
